Discipline,FinalOutcome,Sum of SatisfactionRating,Year,Quarter,Month,Day,Sum of SessionLengthMin,StudentLevel,TaskType,Sum of TotalPrompts,UsedAgain,Sum of AI_AssistanceLevel
Biology,Assignment Completed,2,2024,Qtr 3,July,14,10.92,Undergraduate,Brainstorming,3,TRUE,2
Biology,Assignment Completed,2.8,2024,Qtr 3,July,14,22.25,Undergraduate,Coding,7,TRUE,3
Biology,Assignment Completed,2.8,2024,Qtr 3,July,15,15.53,Undergraduate,Studying,4,TRUE,2
Biology,Assignment Completed,4.8,2024,Qtr 3,July,16,14.67,Graduate,Writing,3,TRUE,5
Biology,Assignment Completed,5,2024,Qtr 3,July,17,17.85,High School,Homework Help,8,TRUE,5
Biology,Assignment Completed,4.6,2024,Qtr 3,July,17,10.24,Undergraduate,Writing,3,TRUE,4
Biology,Assignment Completed,4.3,2024,Qtr 3,July,18,4.71,Undergraduate,Coding,1,TRUE,5
Biology,Assignment Completed,3.9,2024,Qtr 3,July,19,41.12,Graduate,Writing,11,TRUE,3
Biology,Assignment Completed,3.9,2024,Qtr 3,July,19,53.57,High School,Homework Help,14,FALSE,3
Biology,Assignment Completed,4.1,2024,Qtr 3,July,19,38.99,High School,Writing,16,TRUE,3
Biology,Assignment Completed,4,2024,Qtr 3,July,19,11.23,Undergraduate,Homework Help,4,TRUE,4
Biology,Assignment Completed,2,2024,Qtr 3,July,20,49.1,High School,Coding,16,TRUE,3
Biology,Assignment Completed,2.5,2024,Qtr 3,July,20,19.3,High School,Studying,6,TRUE,4
Biology,Assignment Completed,4.8,2024,Qtr 3,July,22,14.49,High School,Coding,4,FALSE,4
Biology,Assignment Completed,1.2,2024,Qtr 3,July,22,32.48,High School,Homework Help,10,TRUE,2
Biology,Assignment Completed,3.1,2024,Qtr 3,July,22,9.44,Undergraduate,Coding,3,TRUE,3
Biology,Assignment Completed,4.1,2024,Qtr 3,July,23,18.98,Graduate,Coding,5,TRUE,3
Biology,Assignment Completed,3.7,2024,Qtr 3,July,24,11.39,Undergraduate,Writing,5,TRUE,4
Biology,Assignment Completed,4.9,2024,Qtr 3,July,25,44.81,Graduate,Writing,11,TRUE,5
Biology,Assignment Completed,2.2,2024,Qtr 3,July,25,12.39,High School,Coding,5,TRUE,1
Biology,Assignment Completed,2.8,2024,Qtr 3,July,25,10.51,Undergraduate,Writing,3,TRUE,4
Biology,Assignment Completed,5,2024,Qtr 3,July,26,2.58,Graduate,Homework Help,1,FALSE,4
Biology,Assignment Completed,2,2024,Qtr 3,July,26,21.25,High School,Writing,7,TRUE,2
Biology,Assignment Completed,4.2,2024,Qtr 3,July,26,31.6,Undergraduate,Coding,6,FALSE,3
Biology,Assignment Completed,2.9,2024,Qtr 3,July,26,24.74,Undergraduate,Studying,11,TRUE,3
Biology,Assignment Completed,4.2,2024,Qtr 3,July,27,31.23,Graduate,Studying,8,TRUE,3
Biology,Assignment Completed,5,2024,Qtr 3,July,28,65.99,Undergraduate,Writing,32,TRUE,5
Biology,Assignment Completed,3.4,2024,Qtr 3,July,29,15.77,Undergraduate,Coding,4,TRUE,2
Biology,Assignment Completed,1.3,2024,Qtr 3,July,29,5.49,Undergraduate,Writing,1,TRUE,2
Biology,Assignment Completed,2.5,2024,Qtr 3,July,30,31.13,High School,Homework Help,6,TRUE,4
Biology,Assignment Completed,4.8,2024,Qtr 3,July,30,3.57,Undergraduate,Coding,1,TRUE,5
Biology,Assignment Completed,2.9,2024,Qtr 3,July,30,24.97,Undergraduate,Studying,11,TRUE,3
Biology,Assignment Completed,4.4,2024,Qtr 3,August,1,7.16,Graduate,Writing,2,FALSE,5
Biology,Assignment Completed,3.9,2024,Qtr 3,August,2,14.37,Graduate,Writing,6,FALSE,4
Biology,Assignment Completed,3.2,2024,Qtr 3,August,3,37.82,Undergraduate,Coding,9,FALSE,3
Biology,Assignment Completed,3.7,2024,Qtr 3,August,4,10.95,Graduate,Homework Help,2,TRUE,3
Biology,Assignment Completed,2,2024,Qtr 3,August,4,35.41,Graduate,Writing,14,TRUE,2
Biology,Assignment Completed,3.5,2024,Qtr 3,August,4,27.24,High School,Coding,7,TRUE,3
Biology,Assignment Completed,2.2,2024,Qtr 3,August,4,22.1,High School,Homework Help,8,FALSE,3
Biology,Assignment Completed,3.2,2024,Qtr 3,August,4,4.48,Undergraduate,Homework Help,1,TRUE,3
Biology,Assignment Completed,4.5,2024,Qtr 3,August,5,3.9,Graduate,Coding,1,FALSE,4
Biology,Assignment Completed,3.3,2024,Qtr 3,August,5,27.75,Graduate,Homework Help,8,TRUE,3
Biology,Assignment Completed,5,2024,Qtr 3,August,5,39,High School,Writing,17,TRUE,4
Biology,Assignment Completed,8.5,2024,Qtr 3,August,6,74.35,Graduate,Writing,29,TRUE,7
Biology,Assignment Completed,4.6,2024,Qtr 3,August,6,7.36,Undergraduate,Writing,1,FALSE,4
Biology,Assignment Completed,1.8,2024,Qtr 3,August,7,8.08,High School,Writing,1,TRUE,2
Biology,Assignment Completed,5,2024,Qtr 3,August,7,4.65,Undergraduate,Coding,1,TRUE,5
Biology,Assignment Completed,5,2024,Qtr 3,August,7,60.86,Undergraduate,Homework Help,15,FALSE,5
Biology,Assignment Completed,4.5,2024,Qtr 3,August,7,40.55,Undergraduate,Writing,8,TRUE,4
Biology,Assignment Completed,4.2,2024,Qtr 3,August,8,33.73,Undergraduate,Homework Help,8,TRUE,4
Biology,Assignment Completed,2.3,2024,Qtr 3,August,8,7.26,Undergraduate,Studying,2,TRUE,2
Biology,Assignment Completed,3.8,2024,Qtr 3,August,8,19.18,Undergraduate,Writing,7,TRUE,3
Biology,Assignment Completed,4.5,2024,Qtr 3,August,9,9.35,Graduate,Homework Help,2,TRUE,5
Biology,Assignment Completed,5,2024,Qtr 3,August,9,10.39,Undergraduate,Writing,2,FALSE,5
Biology,Assignment Completed,1.3,2024,Qtr 3,August,9,42.26,Undergraduate,Writing,13,TRUE,2
Biology,Assignment Completed,1.4,2024,Qtr 3,August,10,38.01,High School,Writing,7,TRUE,3
Biology,Assignment Completed,5,2024,Qtr 3,August,10,7.62,Undergraduate,Coding,2,TRUE,5
Biology,Assignment Completed,1.3,2024,Qtr 3,August,10,3.9,Undergraduate,Homework Help,1,TRUE,2
Biology,Assignment Completed,4.8,2024,Qtr 3,August,10,6.05,Undergraduate,Studying,2,FALSE,4
Biology,Assignment Completed,4.1,2024,Qtr 3,August,10,3.99,Undergraduate,Studying,1,TRUE,4
Biology,Assignment Completed,6.4,2024,Qtr 3,August,11,35.64,Undergraduate,Homework Help,9,TRUE,6
Biology,Assignment Completed,2.4,2024,Qtr 3,August,12,10.04,Undergraduate,Writing,3,TRUE,3
Biology,Assignment Completed,3.7,2024,Qtr 3,August,13,19.98,Undergraduate,Coding,4,TRUE,4
Biology,Assignment Completed,8.7,2024,Qtr 3,August,13,21.01,Undergraduate,Writing,4,TRUE,8
Biology,Assignment Completed,4.5,2024,Qtr 3,August,14,4.67,Graduate,Coding,1,TRUE,3
Biology,Assignment Completed,1.4,2024,Qtr 3,August,14,21,Undergraduate,Writing,7,TRUE,2
Biology,Assignment Completed,4.3,2024,Qtr 3,August,15,25.17,Graduate,Studying,8,TRUE,5
Biology,Assignment Completed,2.9,2024,Qtr 3,August,15,39.84,Undergraduate,Homework Help,12,FALSE,4
Biology,Assignment Completed,5,2024,Qtr 3,August,15,6.13,Undergraduate,Studying,1,TRUE,3
Biology,Assignment Completed,4.5,2024,Qtr 3,August,16,10.54,Graduate,Writing,3,TRUE,4
Biology,Assignment Completed,3.4,2024,Qtr 3,August,16,14.78,High School,Writing,5,TRUE,3
Biology,Assignment Completed,1.8,2024,Qtr 3,August,17,17.08,High School,Writing,6,FALSE,2
Biology,Assignment Completed,2.5,2024,Qtr 3,August,19,11.65,High School,Coding,3,TRUE,2
Biology,Assignment Completed,4.1,2024,Qtr 3,August,19,7.96,Undergraduate,Writing,2,TRUE,5
Biology,Assignment Completed,4.1,2024,Qtr 3,August,21,10.46,Graduate,Coding,3,FALSE,3
Biology,Assignment Completed,2.7,2024,Qtr 3,August,21,23.28,Undergraduate,Coding,10,FALSE,3
Biology,Assignment Completed,2.6,2024,Qtr 3,August,21,29.43,Undergraduate,Coding,8,TRUE,3
Biology,Assignment Completed,4.5,2024,Qtr 3,August,21,6.61,Undergraduate,Homework Help,1,TRUE,4
Biology,Assignment Completed,3.6,2024,Qtr 3,August,22,15.13,Graduate,Coding,5,FALSE,4
Biology,Assignment Completed,3.4,2024,Qtr 3,August,22,9.78,Undergraduate,Homework Help,4,TRUE,3
Biology,Assignment Completed,1,2024,Qtr 3,August,22,13.56,Undergraduate,Writing,6,TRUE,2
Biology,Assignment Completed,1.7,2024,Qtr 3,August,23,7.14,Undergraduate,Coding,3,TRUE,2
Biology,Assignment Completed,3,2024,Qtr 3,August,23,4.24,Undergraduate,Studying,1,TRUE,3
Biology,Assignment Completed,5,2024,Qtr 3,August,24,10.47,High School,Coding,2,TRUE,5
Biology,Assignment Completed,9.7,2024,Qtr 3,August,24,38.99,Undergraduate,Homework Help,11,TRUE,10
Biology,Assignment Completed,4.6,2024,Qtr 3,August,25,38.77,Undergraduate,Homework Help,15,TRUE,4
Biology,Assignment Completed,2.2,2024,Qtr 3,August,26,20.93,Undergraduate,Writing,5,TRUE,2
Biology,Assignment Completed,2.2,2024,Qtr 3,August,27,31.34,Graduate,Coding,11,TRUE,3
Biology,Assignment Completed,3.8,2024,Qtr 3,August,27,35.14,Undergraduate,Writing,7,TRUE,4
Biology,Assignment Completed,3.8,2024,Qtr 3,August,28,43.29,Undergraduate,Coding,20,TRUE,4
Biology,Assignment Completed,1.7,2024,Qtr 3,August,29,42.02,Graduate,Coding,17,TRUE,2
Biology,Assignment Completed,3.8,2024,Qtr 3,August,29,49.63,Graduate,Writing,14,FALSE,3
Biology,Assignment Completed,4.2,2024,Qtr 3,August,29,5.27,Graduate,Writing,1,TRUE,3
Biology,Assignment Completed,2.8,2024,Qtr 3,August,29,13.27,High School,Homework Help,2,FALSE,3
Biology,Assignment Completed,9.6,2024,Qtr 3,August,29,27.08,Undergraduate,Coding,7,TRUE,8
Biology,Assignment Completed,2.2,2024,Qtr 3,August,29,5.41,Undergraduate,Writing,1,TRUE,3
Biology,Assignment Completed,5,2024,Qtr 3,August,30,15.1,High School,Writing,3,TRUE,5
Biology,Assignment Completed,2.3,2024,Qtr 3,August,31,5.02,High School,Writing,1,TRUE,3
Biology,Assignment Completed,1.9,2024,Qtr 3,September,1,25.19,High School,Homework Help,7,FALSE,3
Biology,Assignment Completed,3.1,2024,Qtr 3,September,1,5.05,High School,Homework Help,2,TRUE,4
Biology,Assignment Completed,4.1,2024,Qtr 3,September,2,9.43,High School,Studying,3,TRUE,4
Biology,Assignment Completed,5,2024,Qtr 3,September,3,29.57,Graduate,Homework Help,11,TRUE,4
Biology,Assignment Completed,5,2024,Qtr 3,September,3,23.07,Undergraduate,Brainstorming,5,TRUE,5
Biology,Assignment Completed,6.6,2024,Qtr 3,September,4,60.98,Undergraduate,Coding,23,TRUE,7
Biology,Assignment Completed,3.8,2024,Qtr 3,September,4,9.14,Undergraduate,Homework Help,3,TRUE,4
Biology,Assignment Completed,3.6,2024,Qtr 3,September,5,18.52,Graduate,Studying,4,TRUE,3
Biology,Assignment Completed,4.6,2024,Qtr 3,September,6,15.18,Undergraduate,Coding,3,TRUE,4
Biology,Assignment Completed,4.4,2024,Qtr 3,September,7,63.42,High School,Writing,15,FALSE,5
Biology,Assignment Completed,2.5,2024,Qtr 3,September,7,18.28,Undergraduate,Homework Help,3,FALSE,3
Biology,Assignment Completed,2.3,2024,Qtr 3,September,7,8,Undergraduate,Studying,1,TRUE,2
Biology,Assignment Completed,3.9,2024,Qtr 3,September,9,25.26,High School,Coding,11,FALSE,4
Biology,Assignment Completed,4.5,2024,Qtr 3,September,9,10.74,Undergraduate,Homework Help,2,TRUE,3
Biology,Assignment Completed,4.7,2024,Qtr 3,September,9,9.35,Undergraduate,Studying,2,TRUE,5
Biology,Assignment Completed,2.9,2024,Qtr 3,September,10,28.69,High School,Writing,7,TRUE,2
Biology,Assignment Completed,3.7,2024,Qtr 3,September,10,22.54,Undergraduate,Homework Help,8,TRUE,3
Biology,Assignment Completed,2.5,2024,Qtr 3,September,11,44.01,High School,Studying,9,TRUE,2
Biology,Assignment Completed,2.4,2024,Qtr 3,September,11,36.14,Undergraduate,Studying,7,TRUE,3
Biology,Assignment Completed,5.6,2024,Qtr 3,September,13,10.72,Undergraduate,Coding,2,FALSE,6
Biology,Assignment Completed,4.4,2024,Qtr 3,September,13,14.9,Undergraduate,Homework Help,3,TRUE,4
Biology,Assignment Completed,5,2024,Qtr 3,September,14,3,High School,Research,1,TRUE,5
Biology,Assignment Completed,1.4,2024,Qtr 3,September,14,10.6,Undergraduate,Coding,2,TRUE,2
Biology,Assignment Completed,1,2024,Qtr 3,September,15,11.02,Graduate,Studying,3,TRUE,2
Biology,Assignment Completed,4.7,2024,Qtr 3,September,15,17.21,Graduate,Writing,7,TRUE,5
Biology,Assignment Completed,8.1,2024,Qtr 3,September,15,49.64,Undergraduate,Homework Help,17,TRUE,10
Biology,Assignment Completed,2.8,2024,Qtr 3,September,16,16.49,High School,Research,4,TRUE,3
Biology,Assignment Completed,4.2,2024,Qtr 3,September,16,4.58,Undergraduate,Studying,1,TRUE,3
Biology,Assignment Completed,3.5,2024,Qtr 3,September,18,6.05,High School,Coding,1,TRUE,4
Biology,Assignment Completed,3.4,2024,Qtr 3,September,18,7.27,Undergraduate,Writing,1,TRUE,4
Biology,Assignment Completed,2.9,2024,Qtr 3,September,19,27.1,High School,Coding,9,TRUE,3
Biology,Assignment Completed,4.8,2024,Qtr 3,September,19,15.27,Undergraduate,Writing,3,FALSE,4
Biology,Assignment Completed,2.4,2024,Qtr 3,September,20,39.94,High School,Writing,18,TRUE,3
Biology,Assignment Completed,3.3,2024,Qtr 3,September,21,9.81,High School,Homework Help,2,TRUE,4
Biology,Assignment Completed,5,2024,Qtr 3,September,21,14.61,Undergraduate,Writing,5,TRUE,5
Biology,Assignment Completed,4.8,2024,Qtr 3,September,22,8.05,Graduate,Studying,2,TRUE,4
Biology,Assignment Completed,2.6,2024,Qtr 3,September,22,35.19,Undergraduate,Coding,11,TRUE,2
Biology,Assignment Completed,3.3,2024,Qtr 3,September,22,17.85,Undergraduate,Writing,4,TRUE,3
Biology,Assignment Completed,2.6,2024,Qtr 3,September,23,28.74,Undergraduate,Coding,6,TRUE,3
Biology,Assignment Completed,4.7,2024,Qtr 3,September,23,10.13,Undergraduate,Writing,4,TRUE,4
Biology,Assignment Completed,4.2,2024,Qtr 3,September,24,27.42,Undergraduate,Homework Help,5,FALSE,3
Biology,Assignment Completed,4.9,2024,Qtr 3,September,25,6.43,Undergraduate,Coding,1,TRUE,5
Biology,Assignment Completed,4.7,2024,Qtr 3,September,26,16.23,Graduate,Coding,5,TRUE,4
Biology,Assignment Completed,2,2024,Qtr 3,September,26,16.18,High School,Coding,3,TRUE,3
Biology,Assignment Completed,3,2024,Qtr 3,September,26,11.29,Undergraduate,Brainstorming,3,TRUE,3
Biology,Assignment Completed,2.7,2024,Qtr 3,September,26,16.38,Undergraduate,Coding,6,TRUE,2
Biology,Assignment Completed,5,2024,Qtr 3,September,27,18.87,High School,Writing,6,TRUE,5
Biology,Assignment Completed,5,2024,Qtr 3,September,27,12.99,Undergraduate,Coding,3,TRUE,5
Biology,Assignment Completed,4.1,2024,Qtr 3,September,28,14.89,Graduate,Writing,3,TRUE,4
Biology,Assignment Completed,3.5,2024,Qtr 3,September,28,5.55,High School,Studying,2,TRUE,3
Biology,Assignment Completed,3.7,2024,Qtr 3,September,28,26.98,Undergraduate,Brainstorming,5,TRUE,3
Biology,Assignment Completed,2.1,2024,Qtr 3,September,29,44.8,Undergraduate,Coding,10,TRUE,4
Biology,Assignment Completed,4.2,2024,Qtr 4,October,1,18.4,Graduate,Studying,4,TRUE,3
Biology,Assignment Completed,3.6,2024,Qtr 4,October,3,37.7,High School,Writing,7,TRUE,3
Biology,Assignment Completed,2.2,2024,Qtr 4,October,3,46.21,Undergraduate,Studying,19,TRUE,2
Biology,Assignment Completed,1.2,2024,Qtr 4,October,4,14.83,Graduate,Homework Help,3,TRUE,3
Biology,Assignment Completed,2.5,2024,Qtr 4,October,4,11.12,Undergraduate,Homework Help,2,TRUE,3
Biology,Assignment Completed,4.1,2024,Qtr 4,October,5,13.42,Graduate,Coding,3,TRUE,4
Biology,Assignment Completed,4.5,2024,Qtr 4,October,5,70.56,High School,Writing,21,TRUE,4
Biology,Assignment Completed,1.9,2024,Qtr 4,October,5,10.3,Undergraduate,Coding,2,FALSE,2
Biology,Assignment Completed,4.5,2024,Qtr 4,October,6,41.64,Undergraduate,Homework Help,20,FALSE,3
Biology,Assignment Completed,4.8,2024,Qtr 4,October,6,43.52,Undergraduate,Writing,16,TRUE,5
Biology,Assignment Completed,4.6,2024,Qtr 4,October,7,14.75,Graduate,Homework Help,4,TRUE,4
Biology,Assignment Completed,4,2024,Qtr 4,October,7,7.23,High School,Research,1,TRUE,4
Biology,Assignment Completed,3.2,2024,Qtr 4,October,7,21.49,Undergraduate,Coding,8,TRUE,4
Biology,Assignment Completed,5.7,2024,Qtr 4,October,7,36.96,Undergraduate,Studying,12,TRUE,7
Biology,Assignment Completed,3,2024,Qtr 4,October,7,1.62,Undergraduate,Writing,1,TRUE,4
Biology,Assignment Completed,9.2,2024,Qtr 4,October,8,24.51,Undergraduate,Coding,5,TRUE,9
Biology,Assignment Completed,3,2024,Qtr 4,October,9,11.69,High School,Coding,4,FALSE,2
Biology,Assignment Completed,5,2024,Qtr 4,October,9,18.2,High School,Writing,4,TRUE,5
Biology,Assignment Completed,3.3,2024,Qtr 4,October,9,2.45,Undergraduate,Coding,1,TRUE,3
Biology,Assignment Completed,2.6,2024,Qtr 4,October,10,14.61,Undergraduate,Writing,3,FALSE,4
Biology,Assignment Completed,2.4,2024,Qtr 4,October,10,39.42,Undergraduate,Writing,8,TRUE,3
Biology,Assignment Completed,5,2024,Qtr 4,October,11,6.58,High School,Studying,2,FALSE,5
Biology,Assignment Completed,3.5,2024,Qtr 4,October,11,12.41,Undergraduate,Coding,2,TRUE,4
Biology,Assignment Completed,3.5,2024,Qtr 4,October,12,3.32,Graduate,Studying,1,FALSE,3
Biology,Assignment Completed,3.5,2024,Qtr 4,October,13,23.69,High School,Studying,5,TRUE,3
Biology,Assignment Completed,3,2024,Qtr 4,October,14,3.49,Undergraduate,Coding,1,TRUE,3
Biology,Assignment Completed,2.8,2024,Qtr 4,October,15,33.21,Graduate,Homework Help,6,TRUE,5
Biology,Assignment Completed,2.2,2024,Qtr 4,October,15,18.95,High School,Writing,6,FALSE,2
Biology,Assignment Completed,5,2024,Qtr 4,October,15,33.25,High School,Writing,11,TRUE,5
Biology,Assignment Completed,3,2024,Qtr 4,October,15,14.8,Undergraduate,Coding,5,TRUE,3
Biology,Assignment Completed,3.4,2024,Qtr 4,October,16,7.73,Graduate,Writing,1,TRUE,4
Biology,Assignment Completed,4.4,2024,Qtr 4,October,16,23.48,Undergraduate,Homework Help,5,TRUE,4
Biology,Assignment Completed,4.3,2024,Qtr 4,October,16,20.43,Undergraduate,Writing,5,TRUE,4
Biology,Assignment Completed,4.6,2024,Qtr 4,October,17,26.64,Undergraduate,Coding,8,TRUE,4
Biology,Assignment Completed,2.6,2024,Qtr 4,October,17,12.02,Undergraduate,Research,4,TRUE,2
Biology,Assignment Completed,3.8,2024,Qtr 4,October,18,5.79,High School,Coding,1,FALSE,5
Biology,Assignment Completed,4.6,2024,Qtr 4,October,20,9.48,Graduate,Brainstorming,3,TRUE,4
Biology,Assignment Completed,3.6,2024,Qtr 4,October,20,23.07,Undergraduate,Writing,7,TRUE,4
Biology,Assignment Completed,4.8,2024,Qtr 4,October,21,56.31,High School,Coding,13,TRUE,5
Biology,Assignment Completed,2.6,2024,Qtr 4,October,21,43.14,Undergraduate,Brainstorming,10,TRUE,3
Biology,Assignment Completed,3.6,2024,Qtr 4,October,22,19.97,Undergraduate,Homework Help,5,FALSE,3
Biology,Assignment Completed,3.5,2024,Qtr 4,October,23,24.33,Graduate,Homework Help,5,TRUE,4
Biology,Assignment Completed,3.6,2024,Qtr 4,October,23,36.94,High School,Writing,8,TRUE,3
Biology,Assignment Completed,2.5,2024,Qtr 4,October,23,14.28,Undergraduate,Homework Help,6,TRUE,3
Biology,Assignment Completed,3.1,2024,Qtr 4,October,24,9.77,High School,Coding,2,FALSE,2
Biology,Assignment Completed,4.2,2024,Qtr 4,October,24,17.43,Undergraduate,Studying,7,FALSE,5
Biology,Assignment Completed,1.6,2024,Qtr 4,October,24,25.3,Undergraduate,Studying,8,TRUE,2
Biology,Assignment Completed,2.4,2024,Qtr 4,October,26,2.01,Graduate,Coding,1,TRUE,3
Biology,Assignment Completed,4.2,2024,Qtr 4,October,26,9.71,Graduate,Studying,2,FALSE,3
Biology,Assignment Completed,4.5,2024,Qtr 4,October,28,7.15,High School,Coding,1,FALSE,4
Biology,Assignment Completed,3.4,2024,Qtr 4,October,29,5.82,Undergraduate,Brainstorming,1,TRUE,4
Biology,Assignment Completed,6.2,2024,Qtr 4,October,29,28.25,Undergraduate,Coding,7,TRUE,8
Biology,Assignment Completed,2.1,2024,Qtr 4,October,29,16.74,Undergraduate,Writing,4,FALSE,2
Biology,Assignment Completed,2.5,2024,Qtr 4,October,30,8.58,Graduate,Writing,1,TRUE,4
Biology,Assignment Completed,3,2024,Qtr 4,October,30,16.05,High School,Homework Help,4,FALSE,3
Biology,Assignment Completed,2.6,2024,Qtr 4,October,30,11.99,Undergraduate,Homework Help,4,TRUE,3
Biology,Assignment Completed,2.9,2024,Qtr 4,October,30,50.12,Undergraduate,Writing,11,TRUE,3
Biology,Assignment Completed,8.5,2024,Qtr 4,October,31,105.52,Undergraduate,Homework Help,44,TRUE,9
Biology,Assignment Completed,4.2,2024,Qtr 4,October,31,24.39,Undergraduate,Research,5,TRUE,5
Biology,Assignment Completed,2.6,2024,Qtr 4,November,1,16.22,High School,Studying,5,TRUE,2
Biology,Assignment Completed,2.7,2024,Qtr 4,November,2,8.89,Undergraduate,Coding,3,TRUE,3
Biology,Assignment Completed,5,2024,Qtr 4,November,2,24.93,Undergraduate,Writing,6,TRUE,5
Biology,Assignment Completed,3.9,2024,Qtr 4,November,3,8.58,High School,Writing,2,TRUE,4
Biology,Assignment Completed,2.4,2024,Qtr 4,November,3,4.04,Undergraduate,Coding,1,TRUE,3
Biology,Assignment Completed,4.3,2024,Qtr 4,November,3,16.41,Undergraduate,Homework Help,4,TRUE,4
Biology,Assignment Completed,2.9,2024,Qtr 4,November,4,8.8,Undergraduate,Coding,1,TRUE,3
Biology,Assignment Completed,2,2024,Qtr 4,November,4,7.81,Undergraduate,Writing,1,TRUE,2
Biology,Assignment Completed,8.9,2024,Qtr 4,November,5,79.22,Undergraduate,Studying,16,TRUE,9
Biology,Assignment Completed,1,2024,Qtr 4,November,5,4.35,Undergraduate,Writing,1,TRUE,2
Biology,Assignment Completed,3.6,2024,Qtr 4,November,6,9.3,Undergraduate,Studying,3,TRUE,3
Biology,Assignment Completed,3.4,2024,Qtr 4,November,6,13.64,Undergraduate,Writing,3,FALSE,3
Biology,Assignment Completed,4.2,2024,Qtr 4,November,6,2.16,Undergraduate,Writing,1,TRUE,4
Biology,Assignment Completed,3.5,2024,Qtr 4,November,7,8.92,Undergraduate,Writing,2,TRUE,4
Biology,Assignment Completed,5,2024,Qtr 4,November,9,11.07,Undergraduate,Studying,2,TRUE,5
Biology,Assignment Completed,3,2024,Qtr 4,November,11,3.04,Undergraduate,Research,1,TRUE,3
